Month,Branch,Spare_code,Spare_name,Model,Product,Coverage_type,Part_Replacement_count
Apr-20,ANDHRA,LNOPN000968,Open Cell  A32HDN552,A32HDN552,LED,UW,1
Apr-20,RJ,LNMBN000954,MAIN BOARD CHASSIS A32HDN552,A32HDN552,LED,UW,1
Aug-20,ANDHRA,ACPMF002872,MOTOR PUMP ASM -VERA P -A50WMH320,A50WMH320,ACOL,UW,1
Aug-20,ANDHRA,ACPMF002872,MOTOR PUMP ASM -VERA P -A50WMH321,A50WMH321,ACOL,UW,1
Aug-20,ANDHRA,ACPMF002872,MOTOR PUMP ASM -VERA P -A50WMH322,A50WMH322,ACOL,UW,1
Aug-20,ANDHRA,ACPMF002872,MOTOR PUMP ASM -VERA P -ATC3410,ATC3410,ACOL,UW,1
Aug-20,ANDHRA,ACPMF002872,MOTOR PUMP ASM -VERA P -AWC5010,AWC5010,ACOL,UW,1
Aug-20,ANDHRA,ACPMF002872,MOTOR PUMP ASM -VERA P -AWC5110,AWC5110,ACOL,UW,1
Aug-20,ANDHRA,LCBLK001271,BACK LIGHT LED BAR A55UDS970,A55UDS970,LED,UW,4
Aug-20,ANDHRA,LCBLN001231,BACK LIGHT LED BAR-A40HDN952,A40HDN952,LED,UW,1
Aug-20,ANDHRA,LCBLNC00855,BACK LIGHT LED BAR A32HCN700,A32HCN700,LED,UW,6
Aug-20,ANDHRA,LCBLNC00855,BACK LIGHT LED BAR A32HCS800,A32HCS800,LED,UW,6
Aug-20,ANDHRA,LCBLS000647,Back Light LED Bar A43FDS960,A43FDS960,LED,UW,3
Aug-20,ANDHRA,LCBLS001111,BACK LIGHT LED BAR A32HDS600,A32HDS600,LED,UW,4
Aug-20,ANDHRA,LCBLS001126,BACK LIGHT LED BAR A32HDS610,A32HDS610,LED,UW,6
Aug-20,ANDHRA,LCIRS001102,IRBOARD A32HDS600,A32HDS600,LED,UW,1
Aug-20,ANDHRA,LCMBK001264,MAIN BOARD CHASSIS A55UDS970,A55UDS970,LED,UW,1
Aug-20,ANDHRA,LCMBS000630,MAIN BOARD CHASSIS A43FDS960,A43FDS960,LED,UW,1
Aug-20,ANDHRA,LCMBS001104,MAIN BOARD CHASSIS A32HDS600,A32HDS600,LED,UW,3
Aug-20,ANDHRA,LCMBS001132,MAIN BOARD CHASSIS A32HDS610,A32HDS610,LED,UW,1
Aug-20,ANDHRA,LCOPS001112,Open Cell A32HDS600,A32HDS600,LED,UW,5
Aug-20,ANDHRA,LCSPK001266,SPEAKER BLACK A55UDS970,A55UDS970,LED,UW,1
Aug-20,ANDHRA,LCSPN001235,SPEAKER BLACK A40HDN952,A40HDN952,LED,UW,1
Aug-20,ANDHRA,LCSPS000633,SPEAKER A43FDS960,A43FDS960,LED,UW,1
Aug-20,ANDHRA,LCUMN001011,BACK LIGHT LED BAR A32HDN560,A32HDN560,LED,UW,2
Aug-20,ANDHRA,LMIRS000941,BACK LIGHT LED BAR A32HDS620,A32HDS620,LED,UW,1
Aug-20,ANDHRA,LMMBN000904,MAIN BOARD CHASSIS A32HDN562,A32HDN562,LED,UW,2
Aug-20,ANDHRA,LMMBN000904,MAIN BOARD CHASSIS A32HDN564,A32HDN564,LED,UW,2
Aug-20,ANDHRA,LMMBN000924,MAIN BOARD CHASSIS A32HDN563,A32HDN563,LED,UW,4
Aug-20,ANDHRA,LMOPN000912,Open Cell A32HDN562,A32HDN562,LED,PS,2
Aug-20,ANDHRA,LMOPN000912,Open Cell A32HDN564,A32HDN564,LED,PS,2
Aug-20,ANDHRA,LMOPN000930,Open Cell A32HDN563,A32HDN563,LED,UW,1
Aug-20,ANDHRA,LMPAN000913,Panel A32HDN562,A32HDN562,LED,UW,1
Aug-20,ANDHRA,LMSLS000961,SPEAKER A32HDS620,A32HDS620,LED,UW,1
Aug-20,ANDHRA,LMSPN000919,SPEAKER BLACK A32HDN563,A32HDN563,LED,UW,1
Aug-20,ANDHRA,LNBLK000837,BACK LIGHT LED BAR-A43UDS965,A43UDS965,LED,UW,1
Aug-20,ANDHRA,LNBLN000960,BACK LIGHT LED BAR A32HDN552,A32HDN552,LED,UW,3
Aug-20,ANDHRA,LNMBK000827,MAIN BOARD CHASSIS A43UDS965,A43UDS965,LED,PS,1
Aug-20,ANDHRA,LNMBN001302,MAIN BOARD - A24FDN534,A24FDN534,LED,UW,1
Aug-20,ANDHRA,LNMBN001302,MAIN BOARD - A24HDN534,A24HDN534,LED,UW,1
Aug-20,ANDHRA,LNOPN000968,Open Cell  A32HDN552,A32HDN552,LED,UW,2
Aug-20,ANDHRA,LNPAK000839,Panel -A43UDS965,A43UDS965,LED,UW,1
Aug-20,ANDHRA,LNSPN000683,SPEAKER A24FDN532,A24FDN532,LED,UW,1
Aug-20,ANDHRA,OTHER,OTHER,A01UKB610,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A01UKB610,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A01UKB610,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A02UKB600,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A02UKB600,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A02UKB600,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A10UKB810,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A10UKB810,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A10UKB810,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A11UFB500,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A11UFB500,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A11UFB500,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A12UKB800,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A12UKB800,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A12UKB800,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A12UKB800NEW,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A12UKB800NEW,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A12UKB800NEW,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A14UFB206,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A14UFB206,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A14UFB206,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A14UFB207,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A14UFB207,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A14UFB207,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A14UKB820,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A14UKB820,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A14UKB820,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A15UFB502,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A15UFB502,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A15UFB502,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A20PMH100,ACOL,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A20PMH100,ACOL,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A20PMH100,ACOL,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A20TMH210,ACOL,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A20TMH210,ACOL,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A20TMH210,ACOL,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A20UKB830,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A20UKB830,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A20UKB830,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A22FDN500,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A22FDN500,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A22FDN500,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A22FDN510,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A22FDN510,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A22FDN510,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A22UFB402,MMSPK,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A22UFB402,MMSPK,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A22UFB402,MMSPK,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A24FDN520,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN520,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN520,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A24FDN530,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN530,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN530,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A24FDN532,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN532,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN532,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A24FDN534,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN534,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A24FDN534,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A24HDN534,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A24HDN534,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A24HDN534,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HCN700,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HCN700,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HCN700,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HCS800,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HCS800,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HCS800,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN550,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN550,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN550,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN552,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN552,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN552,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN560,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN560,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN560,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN562,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN562,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN562,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN563,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN563,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN563,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN564,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN564,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN564,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN570,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN570,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN570,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDN572,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN572,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDN572,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDS600,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDS600,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDS600,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDS610,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDS610,LED,PS,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDS610,LED,UW,13
Aug-20,ANDHRA,OTHER,OTHER,A32HDS620,LED,OW,1
Aug-20,ANDHRA,OTHER,OTHER,A32HDS620,LED,PS,1
